회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
판타지오,032800,창작 및 예술관련 서비스업,교육서비스,1997-06-26,06월,"박종진, 신영진",http://fantagio.kr,서울특별시
유비케어,032620,소프트웨어 개발 및 공급업,"의사랑,유팜,미소몰",1997-05-02,12월,이상경 대표이사,http://www.ubcare.co.kr,서울특별시
피델릭스,032580,반도체 제조업,PSRAM 및 LPSDRAM,1997-04-22,12월,"안승한, 셰잉샤(Xie Yingxia)",http://www.fidelix.co.kr,경기도
TJ미디어,032540,영상 및 음향기기 제조업,영상음향반주기,1997-04-16,12월,윤나라,http://www.tjmedia.co.kr/,서울특별시
휴맥스홀딩스,028080,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지주사업, IT서비스사업",1997-04-16,12월,변대규,http://holdings.humaxdigital.com/,경기도
삼일,032280,도로 화물 운송업,운송 및 하역수입,1997-03-15,12월,"강승엽,안인수(각자대표)",http://www.samil31.co.kr,경상북도
뉴인텍,012340,전자부품 제조업,콘덴서,1997-02-12,12월,장기수,http://www.nuin.co.kr,충청남도
오스템,031510,자동차 신품 부품 제조업,휠,1997-02-12,12월,"김정우, 김동효(각자 대표이사)",http://www.yyauto.co.kr,충청남도
엔에스엔,031860,상품 종합 도매업,FLC,1997-01-07,12월,이상욱 (단독대표),http://www.a-motion.co.kr,서울특별시
피에스케이홀딩스,031980,특수 목적용 기계 제조업,"Descum, Reflow",1997-01-07,12월,박경수,http://www.pskholding.com,경기도
세보엠이씨,011560,건물설비 설치 공사업,"건설관련설비,ACESS FLOOR,소음기,CHAMMBER,PFP UNIT,BY-PASS UNIT,DUCT,철구조물",1996-12-23,12월,"김우영,이원하(각자 대표이사)",http://www.sebomec.com,서울특별시
한일단조,024740,자동차 신품 부품 제조업,단조품,1996-11-29,12월,박정영,http://www.hifg.co.kr,충청북도
양지사,030960,인쇄 및 인쇄관련 산업,다이어리,1996-10-24,06월,이현,http://www.yangjisa.com,경기도
원익홀딩스,030530,특수 목적용 기계 제조업,가스캐비닛,1996-09-24,12월,임창빈,http://www.wonikholdings.kr,경기도
한글과컴퓨터,030520,소프트웨어 개발 및 공급업,오피스소프트웨어,1996-09-24,12월,"변성준, 김연수 (각자대표)",http://www.hancom.com,경기도
메이슨캐피탈,021880,기타 금융업,리스수입,1996-09-02,03월,"최성욱, 조재형(각자 대표이사)",http://mason-capital.co.kr,전라북도
광무,029480,통신 및 방송 장비 제조업,"네트워크 통합사업,네트워크 장비, 光 전송장비, S/W 제조, 네트워크관리",1996-08-27,12월,이상연,http://www.kdccorp.co.kr,서울특별시
대호특수강,021040,1차 철강 제조업,냉간압조용선재,1996-08-27,12월,강근욱,http://www.dhstl.co.kr,경상남도
HLB,028300,선박 및 보트 건조업,"구명정, GRP/GRE PIPPE",1996-07-27,12월,"진양곤, 김동건 (각자대표)",http://www.hlbkorea.com,울산광역시
팜스토리,027710,동물용 사료 및 조제식품 제조업,사료,1996-07-06,12월,"편명식, 배수한(각자대표)",http://www.dodrambnf.co.kr,서울특별시
